iter	Passed	Remaining
1392	8796	54349
1393	8802	54340
1394	8806	54324
1395	8812	54316
1396	8817	54299
1397	8822	54284
1398	8827	54272
1399	8832	54257
1400	8837	54241
1401	8843	54231
1402	8847	54212
1403	8852	54196
1404	8857	54186
1405	8862	54169
1406	8867	54157
1407	8873	54149
1408	8878	54134
1409	8883	54118
1410	8887	54101
1411	8893	54091
1412	8898	54078
1413	8904	54068
1414	8910	54058
1415	8915	54048
1416	8922	54042
1417	8926	54027
1418	8931	54009
1419	8936	53999
1420	8941	53983
1421	8946	53965
1422	8950	53947
1423	8956	53937
1424	8960	53922
1425	8965	53907
1426	8972	53901
1427	8976	53884
1428	8981	53867
1429	8987	53864
1430	8992	53850
1431	8997	53835
1432	9003	53828
1433	9008	53813
1434	9014	53804
1435	9021	53802
1436	9026	53787
1437	9035	53801
1438	9041	53789
1439	9051	53807
1440	9056	53793
1441	9061	53777
1442	9067	53771
1443	9073	53764
1444	9078	53750
1445	9087	53756
1446	9092	53744
1447	9099	53744
1448	9105	53732
1449	9109	53717
1450	9118	53721
1451	9122	53705
1452	9127	53688
1453	9133	53681
1454	9138	53668
1455	9143	53655
1456	9149	53647
1457	9154	53636
1458	9160	53626
1459	9167	53622
1460	9172	53612
1461	9179	53605
1462	9184	53596
1463	9190	53584
1464	9196	53580
1465	9202	53572
1466	9207	53556
1467	9213	53549
1468	9218	53532
1469	9222	53517
1470	9228	53510
1471	9233	53495
1472	9238	53478
1473	9244	53470
1474	9249	53456
1475	9253	53442
1476	9259	53434
1477	9264	53419
1478	9270	53409
1479	9277	53409
1480	9282	53396
1481	9288	53384
1482	9295	53385
1483	9301	53375
1484	9308	53376
1485	9313	53361
1486	9319	53351
1487	9325	53346
1488	9330	53331
1489	9334	53315
1490	9341	53309
1491	9346	53295
1492	9351	53282
1493	9357	53277
1494	9362	53263
1495	9367	53251
1496	9373	53244
1497	9379	53235
1498	9384	53220
1499	9392	53222
1500	9398	53214
1501	9405	53212
1502	9410	53200
1503	9415	53185
1504	9421	53179
1505	9427	53170
1506	9431	53154
1507	9437	53145
1508	9442	53131
1509	9447	53117
1510	9453	53109
1511	9458	53096
1512	9463	53083
1513	9469	53078
1514	9474	53064
1515	9479	53047
1516	9485	53041
1517	9493	53045
1518	9499	53039
1519	9505	53030
1520	9510	53014
1521	9517	53014
1522	9522	53000
1523	9527	52988
1524	9540	53019
1525	9551	53039
1526	9558	53035
1527	9567	53046
1528	9574	53045
1529	9581	53044
1530	9589	53048
1531	9598	53057
1532	9603	53039
1533	9608	53028
1534	9616	53033
1535	9623	53027
1536	9629	53021
1537	9636	53019
1538	9641	53006
1539	9649	53009
1540	9654	52995
1541	9659	52985
1542	9667	52986
1543	9672	52970
1544	9678	52965
1545	9683	52954
1546	9688	52939
1547	9694	52931
1548	9699	52919
1549	9705	52912
1550	9712	52907
1551	9717	52892
1552	9721	52878
1553	9727	52869
1554	9731	52852
1555	9736	52838
1556	9743	52833
1557	9747	52818
1558	9752	52802
1559	9759	52801
1560	9764	52789
1561	9769	52773
1562	9775	52770
1563	9780	52756
1564	9785	52741
1565	9792	52736
1566	9797	52726
1567	9802	52715
1568	9808	52706
1569	9813	52692
1570	9818	52681
1571	9824	52671
1572	9828	52654
1573	9833	52642
1574	9839	52633
1575	9843	52616
1576	9848	52602
1577	9854	52595
1578	9859	52579
1579	9863	52566
1580	9869	52555
1581	9873	52539
1582	9878	52525
1583	9883	52514
1584	9888	52502
1585	9896	52503
1586	9903	52499
1587	9908	52486
1588	9912	52468
1589	9918	52460
1590	9923	52447
1591	9927	52432
1592	9933	52422
1593	9937	52407
1594	9942	52392
1595	9946	52377
1596	9953	52374
1597	9958	52360
1598	9963	52345
1599	9968	52336
1600	9973	52322
1601	9978	52307
1602	9984	52303
1603	9989	52288
1604	9993	52272
1605	10000	52267
1606	10004	52253
1607	10009	52239
1608	10016	52237
1609	10021	52222
1610	10025	52207
1611	10032	52202
1612	10036	52187
1613	10041	52171
1614	10047	52166
1615	10052	52151
1616	10056	52136
1617	10062	52128
1618	10067	52115
1619	10072	52100
1620	10078	52094
1621	10082	52080
1622	10087	52067
1623	10093	52058
1624	10098	52043
1625	10103	52035
1626	10109	52028
1627	10114	52014
1628	10120	52004
1629	10127	52002
1630	10132	51992
1631	10137	51978
1632	10145	51982
1633	10150	51970
1634	10155	51955
1635	10160	51946
1636	10165	51933
1637	10170	51921
1638	10177	51918
1639	10183	51909
1640	10189	51902
1641	10196	51902
1642	10203	51898
1643	10211	51901
1644	10216	51890
1645	10226	51901
1646	10230	51887
1647	10237	51885
1648	10243	51876
1649	10248	51864
1650	10258	51874
1651	10262	51860
1652	10269	51859
1653	10274	51845
1654	10279	51830
1655	10284	51821
1656	10290	51812
1657	10295	51802
1658	10302	51800
1659	10307	51784
1660	10312	51774
1661	10318	51767
1662	10323	51752
1663	10327	51738
1664	10333	51731
1665	10338	51717
1666	10345	51713
1667	10351	51708
1668	10356	51695
1669	10360	51679
1670	10366	51670
1671	10371	51657
1672	10375	51643
1673	10381	51632
